value(t),predict(t),value(t-1),value(t-2),trend(t-1),trend(t-2)
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.01523833,1,0,0,0,0
4.120718316,1,2.01523833,0,1,0
4.977530151,1,4.120718316,2.01523833,1,1
5.003546679,1,4.977530151,4.120718316,1,1
5.860153775,1,5.003546679,4.977530151,1,1
4.660784521,1,5.860153775,5.003546679,1,1
3.391274331,1,4.660784521,5.860153775,1,1
2.535543299,0,3.391274331,4.660784521,1,1
2.510543054,0,2.535543299,3.391274331,0,1
1.654893044,0,2.510543054,2.535543299,0,0
61.06348956,1,1.654893044,2.510543054,0,0
85.32375242,1,61.06348956,1.654893044,1,0
95.41371251,1,85.32375242,61.06348956,1,1
99.17940775,1,95.41371251,85.32375242,1,1
101.1532646,1,99.17940775,95.41371251,1,1
41.45623997,1,101.1532646,99.17940775,1,1
16.5529948,0,41.45623997,101.1532646,1,1
7.497705901,0,16.5529948,41.45623997,0,1
4.451091095,0,7.497705901,16.5529948,0,0
2.50361863,0,4.451091095,7.497705901,0,0
2.820713044,0,2.50361863,4.451091095,0,0
2.751487602,0,2.820713044,2.50361863,0,0
1.921118862,0,2.751487602,2.820713044,0,0
1.30957927,0,1.921118862,2.751487602,0,0
1.298501069,0,1.30957927,1.921118862,0,0
0.467916951,0,1.298501069,1.30957927,0,0
0.417695124,0,0.467916951,1.298501069,0,0
0.250024803,0,0.417695124,0.467916951,0,0
0.170059464,0,0.250024803,0.417695124,0,0
0.180468522,0,0.170059464,0.250024803,0,0
0.203898175,0,0.180468522,0.170059464,0,0
0.643012065,0,0.203898175,0.180468522,0,0
0.674858556,0,0.643012065,0.203898175,0,0
0.757328303,0,0.674858556,0.643012065,0,0
0.755017391,0,0.757328303,0.674858556,0,0
0.737134967,0,0.755017391,0.757328303,0,0
0.228099378,0,0.737134967,0.755017391,0,0
0.176822578,0,0.228099378,0.737134967,0,0
0.408969087,0,0.176822578,0.228099378,0,0
0.54363176,0,0.408969087,0.176822578,0,0
0.684893046,0,0.54363176,0.408969087,0,0
1.126294468,0,0.684893046,0.54363176,0,0
1.449297025,0,1.126294468,0.684893046,0,0
1.288329686,0,1.449297025,1.126294468,0,0
1.26313555,0,1.288329686,1.449297025,0,0
1.670811711,0,1.26313555,1.288329686,0,0
1.411065959,0,1.670811711,1.26313555,0,0
1.181334194,0,1.411065959,1.670811711,0,0
1.207468168,0,1.181334194,1.411065959,0,0
1.164607004,0,1.207468168,1.181334194,0,0
0.644415174,0,1.164607004,1.207468168,0,0
0.770174111,0,0.644415174,1.164607004,0,0
0.72991195,0,0.770174111,0.644415174,0,0
0.533758181,0,0.72991195,0.770174111,0,0
0.471937159,0,0.533758181,0.72991195,0,0
1.29603776,0,0.471937159,0.533758181,0,0
2.02357446,0,1.29603776,0.471937159,0,0
2.045894689,0,2.02357446,1.29603776,0,0
2.195847046,0,2.045894689,2.02357446,0,0
2.401833952,0,2.195847046,2.045894689,0,0
1.693122709,0,2.401833952,2.195847046,0,0
0.667305418,0,1.693122709,2.401833952,0,0
0.624277898,0,0.667305418,1.693122709,0,0
0.553992663,0,0.624277898,0.667305418,0,0
0.411354219,0,0.553992663,0.624277898,0,0
0.444249566,0,0.411354219,0.553992663,0,0
0.486677256,0,0.444249566,0.411354219,0,0
0.493080984,0,0.486677256,0.444249566,0,0
0.476634816,0,0.493080984,0.486677256,0,0
0.482637718,0,0.476634816,0.493080984,0,0
0.28285992,0,0.482637718,0.476634816,0,0
0.309127283,0,0.28285992,0.482637718,0,0
0.341616189,0,0.309127283,0.28285992,0,0
0.320721743,0,0.341616189,0.309127283,0,0
0.286223401,0,0.320721743,0.341616189,0,0
0.451896222,0,0.286223401,0.320721743,0,0
0.912387433,0,0.451896222,0.286223401,0,0
1.351198499,1,0.912387433,0.451896222,0,0
1.601801707,1,1.351198499,0.912387433,1,0
1.588581796,0,1.601801707,1.351198499,1,1
1.324333856,0,1.588581796,1.601801707,0,1
1.071610654,0,1.324333856,1.588581796,0,0
1.119746108,0,1.071610654,1.324333856,0,0
1.039158697,0,1.119746108,1.071610654,0,0
1.130336124,0,1.039158697,1.119746108,0,0
1.381673855,0,1.130336124,1.039158697,0,0
1.421320801,0,1.381673855,1.130336124,0,0
1.513910634,0,1.421320801,1.381673855,0,0
1.549790284,0,1.513910634,1.421320801,0,0
1.886627109,0,1.549790284,1.513910634,0,0
1.608947423,0,1.886627109,1.549790284,0,0
1.521730992,0,1.608947423,1.886627109,0,0
1.129565759,0,1.521730992,1.608947423,0,0
1.129642648,0,1.129565759,1.521730992,0,0
0.683183842,0,1.129642648,1.129565759,0,0
0.872172891,0,0.683183842,1.129642648,0,0
0.680322979,0,0.872172891,0.683183842,0,0
0.657127839,0,0.680322979,0.872172891,0,0
0.494747691,0,0.657127839,0.680322979,0,0
0.814099323,0,0.494747691,0.657127839,0,0
0.704620958,0,0.814099323,0.494747691,0,0
0.730244408,0,0.704620958,0.814099323,0,0
0.772965446,0,0.730244408,0.704620958,0,0
0.827912069,0,0.772965446,0.730244408,0,0
0.630601409,0,0.827912069,0.772965446,0,0
0.612219345,0,0.630601409,0.827912069,0,0
0.644904672,0,0.612219345,0.630601409,0,0
0.414327219,0,0.644904672,0.612219345,0,0
0.440933894,0,0.414327219,0.644904672,0,0
0.551850438,0,0.440933894,0.414327219,0,0
0.547927637,0,0.551850438,0.440933894,0,0
0.487993317,0,0.547927637,0.551850438,0,0
0.512678423,0,0.487993317,0.547927637,0,0
0.433288705,0,0.512678423,0.487993317,0,0
0.304735815,0,0.433288705,0.512678423,0,0
0.278757539,0,0.304735815,0.433288705,0,0
0.25808245,0,0.278757539,0.304735815,0,0
0.525889201,0,0.25808245,0.278757539,0,0
0.479992831,0,0.525889201,0.25808245,0,0
0.696972002,0,0.479992831,0.525889201,0,0
0.859161228,0,0.696972002,0.479992831,0,0
0.942535526,0,0.859161228,0.696972002,0,0
1.121982309,0,0.942535526,0.859161228,0,0
1.404918733,0,1.121982309,0.942535526,0,0
1.262227107,0,1.404918733,1.121982309,0,0
1.132289712,0,1.262227107,1.404918733,0,0
1.138529358,0,1.132289712,1.262227107,0,0
0.75785662,0,1.138529358,1.132289712,0,0
0.614890711,0,0.75785662,1.138529358,0,0
0.618503697,0,0.614890711,0.75785662,0,0
0.758020735,0,0.618503697,0.614890711,0,0
0.796552577,0,0.758020735,0.618503697,0,0
0.871831369,0,0.796552577,0.758020735,0,0
0.948771121,0,0.871831369,0.796552577,0,0
0.766815239,0,0.948771121,0.871831369,0,0
0.810041746,0,0.766815239,0.948771121,0,0
0.927271273,0,0.810041746,0.766815239,0,0
0.9692205,0,0.927271273,0.810041746,0,0
0.936470882,0,0.9692205,0.927271273,0,0
0.958722624,0,0.936470882,0.9692205,0,0
0.886224339,0,0.958722624,0.936470882,0,0
0.67267333,0,0.886224339,0.958722624,0,0
0.674150334,0,0.67267333,0.886224339,0,0
0.645752733,0,0.674150334,0.67267333,0,0
0.739289804,0,0.645752733,0.674150334,0,0
0.675754907,0,0.739289804,0.645752733,0,0
0.900784343,0,0.675754907,0.739289804,0,0
1.033691019,0,0.900784343,0.675754907,0,0
1.000093597,0,1.033691019,0.900784343,0,0
1.006668469,0,1.000093597,1.033691019,0,0
1.121093739,0,1.006668469,1.000093597,0,0
0.57434535,0,1.121093739,1.006668469,0,0
0.791828336,0,0.57434535,1.121093739,0,0
1.089955378,0,0.791828336,0.57434535,0,0
