time,value
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,2.01523833
21,4.120718316
22,4.977530151
23,5.003546679
24,5.860153775
25,4.660784521
26,3.391274331
27,2.535543299
28,2.510543054
29,1.654893044
30,61.06348956
31,85.32375242
32,95.41371251
33,99.17940775
34,101.1532646
35,41.45623997
36,16.5529948
37,7.497705901
38,4.451091095
39,2.50361863
40,2.820713044
41,2.751487602
42,1.921118862
43,1.30957927
44,1.298501069
45,0.467916951
46,0.417695124
47,0.250024803
48,0.170059464
49,0.180468522
50,0.203898175
51,0.643012065
52,0.674858556
53,0.757328303
54,0.755017391
55,0.737134967
56,0.228099378
57,0.176822578
58,0.408969087
59,0.54363176
60,0.684893046
61,1.126294468
62,1.449297025
63,1.288329686
64,1.26313555
65,1.670811711
66,1.411065959
67,1.181334194
68,1.207468168
69,1.164607004
70,0.644415174
71,0.770174111
72,0.72991195
73,0.533758181
74,0.471937159
75,1.29603776
76,2.02357446
77,2.045894689
78,2.195847046
79,2.401833952
80,1.693122709
81,0.667305418
82,0.624277898
83,0.553992663
84,0.411354219
85,0.444249566
86,0.486677256
87,0.493080984
88,0.476634816
89,0.482637718
90,0.28285992
91,0.309127283
92,0.341616189
93,0.320721743
94,0.286223401
95,0.451896222
96,0.912387433
97,1.351198499
98,1.601801707
99,1.588581796
100,1.324333856
101,1.071610654
102,1.119746108
103,1.039158697
104,1.130336124
105,1.381673855
106,1.421320801
107,1.513910634
108,1.549790284
109,1.886627109
110,1.608947423
111,1.521730992
112,1.129565759
113,1.129642648
114,0.683183842
115,0.872172891
116,0.680322979
117,0.657127839
118,0.494747691
119,0.814099323
120,0.704620958
121,0.730244408
122,0.772965446
123,0.827912069
124,0.630601409
125,0.612219345
126,0.644904672
127,0.414327219
128,0.440933894
129,0.551850438
130,0.547927637
131,0.487993317
132,0.512678423
133,0.433288705
134,0.304735815
135,0.278757539
136,0.25808245
137,0.525889201
138,0.479992831
139,0.696972002
140,0.859161228
141,0.942535526
142,1.121982309
143,1.404918733
144,1.262227107
145,1.132289712
146,1.138529358
147,0.75785662
148,0.614890711
149,0.618503697
