id,Topic,Time,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,Trend,predict,Max_LogisticRegression_predict,Max_DecisionTree_predict,Max_GaussianProcess_predict,Max_KNeighbors_predict,Max_MLP_predict,Max_LinearSVC_predict,Max_PassiveAgressive_predict,Max_BernoulliNB_predict,Max_BaggingAndKNeighbours_predict,Max_GaussianNB_predict,Max_NearestCentroid_predict,Max_RandomForest_predict,Max_AdaBoostDecisionTree_predict,Max_ExtraTree_predict,Max_SGD_predict,Max_LabelPropagation_predict,Max_GradientBoosting_predict,Max_Ridge_predict
0,#crypto,20180206-145600,5.86678165,6.942181615,7.916803738,7.916803738,7.916803738,3.712262544,2.574773644,1.546536734,1.546536734,3.276020626,4.053091524,3.284060231,2.512378555,3.257545536,6.361831114,6.397669879,8.983171284,8.98211105,9.699171153,8.817945132,14.31530204,11.73355388,13.03438899,13.75274973,11.10702236,6.114781131,6.111027882,4.80542924,3.910211457,3.167616591,1.852868138,1.856091602,2.411113617,1.12574358,1.805882561,2.357448891,2.357247084,2.314460671,2.851722452,4.251974094,4.918950835,5.435612621,5.371462679,5.821278929,3.232056408,2.517676564,2.350003906,4.132180823,4.643429029,5.016451305,4.926844879,4.943790911,3.104127705,1.968449199,1.552916465,1.525141572,1.532907392,3.01325158,2.928476652,4.766437023,4.724134059,5.108097793,3.547134462,4.042314959,2.193280048,2.15144576,1.399800912,1.415536681,0.936696017,1.213034202,1.611442841,1.884387408,2.236137855,2.600081862,2.592220437,1.901149503,2.582455556,3.794395442,3.139040839,3.126924264,3.119851248,2.162585474,0.829200254,1.422065111,1.737604464,1.981137333,1.97539387,1.988274032,1.39498582,0.82362147,0.812379841,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0
1,#momlife,20171004-125800,1.688709602,1.669306283,1.669306283,1.669306283,0.838372262,0.831120228,8.44E-15,0.812338097,1.634058316,2.43738205,3.249895349,3.249895349,4.242742242,4.233047432,4.215718708,4.172236702,4.949742143,3.144557153,2.332531744,1.546536734,0.777505441,0.760874504,1.530056985,1.530056985,1.530056985,2.282931899,2.283078812,1.513896331,3.207676691,3.96828738,3.952877485,3.914219576,4.64412733,2.95034697,2.904823729,2.889849979,2.875431086,2.853467948,2.853467948,4.731715956,6.62918114,6.608517409,6.587853679,6.587853679,3.994518222,2.061842656,2.028612751,2.035168839,2.709384747,2.709384747,2.022103862,2.894892984,3.72042222,3.046206312,3.046206312,3.046206312,1.519366209,6.88E-15,6.88E-15,0.667696512,0.672369453,0.676954227,1.338449197,1.338449197,2.148157611,2.159533349,3.612396851,2.950901881,2.952788357,1.477305334,1.461256654,0.003808379,0.003808379,0.645047596,1.286251387,1.286251387,2.770749371,4.255247354,4.255247354,3.616455644,4.259674828,2.775176845,1.933898045,2.688869917,17.86294048,28.06659472,38.69124817,50.68127062,55.80617403,49.84441477,40.37453771,1,1000,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1
2,#momlife,20171004-160000,32.9971542,20.65677602,14.17692738,5.640454928,7.86194187,5.712776073,6.434426464,7.001602158,8.15748527,4.861692712,4.21891258,3.337997712,3.017896757,2.82492974,4.199708036,4.0192612,4.151402852,4.281389896,2.877839079,1.636140443,1.461708046,2.143777246,1.97326548,1.985556396,2.471367401,2.626253996,1.926553244,2.065540082,1.924004327,1.553504866,2.354179781,2.653184832,2.49981425,2.389694294,2.071153899,1.247000894,0.798530493,0.564105302,0.663182369,0.655991386,0.644487525,1.066158159,1.28593311,1.286076086,1.061234936,1.058263253,0.8962973,0.769010092,0.765672404,0.765509053,0.762723835,0.40581606,0.40773319,0.405422361,0.405406129,0.283197068,0.490543578,0.395985338,0.390677786,0.482040711,0.596583539,0.477866298,0.566873597,0.812443049,1.193173038,0.986246751,1.101626528,1.012189369,0.678490621,0.41042555,1.316434123,1.865766526,2.06554016,2.153545708,1.949481214,1.043472641,0.28898172,0.175387451,0.40751363,0.605913893,0.691954372,0.691663215,0.605348963,0.494156426,0.49619937,0.413898823,0.672180617,0.744192827,0.632384923,0.440994858,0.560554853,0,0,0,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000
3,#momlife,20171005-165600,4.461275323,4.431003144,4.431003144,3.756893327,3.082783509,1.551014857,0.002073447,0.002073447,0.002073447,0.669769959,1.335393023,1.335393023,1.335393023,1.335393023,0.667696512,-8.66E-15,0.00211397,0.00211397,0.007115449,0.007115449,0.007115449,0.005001479,0.005001479,0.008551369,1.618730288,3.245437944,3.245437944,3.245437944,3.930931248,3.021801641,1.395093984,1.395093984,1.395093984,1.388330196,1.37456177,1.37456177,1.376804263,1.379092059,1.392742663,1.406393267,1.406393267,1.404150774,1.401862979,2.295292322,3.204949214,3.207191707,3.207191707,3.90123638,3.00092022,1.390331839,2.09615498,2.101306876,2.108311514,1.41426684,1.419470732,2.305765931,3.01547699,3.001708564,3.003951057,3.001034961,1.406674129,3.329096752,6.874730942,8.665352348,10.21281012,10.85283451,10.41484083,7.516674362,7.726422605,6.257148288,6.196971792,4.575886322,4.322441109,4.207470411,4.13646276,3.565803833,6.062160435,6.777154862,6.568242218,7.002921895,7.431894505,4.780895534,3.935621185,3.25636073,2.81519333,2.790089444,17.10316632,26.20329056,35.31878966,38.44134023,39.71681857,1,1000,1000,1000,1000,1000,1000,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
4,#momlife,20171005-195800,25.81707915,16.21734151,6.725441562,3.91973972,4.278062312,5.205681256,6.396137229,6.468688426,6.735990177,5.043650318,3.938462841,3.697164575,3.140570468,3.419405768,3.215460517,3.228588137,2.853867333,3.769164632,3.335506414,4.007011988,3.944422161,2.923962941,2.47961932,3.404945507,3.557450596,3.205932119,3.450731523,2.842161646,1.486491927,0.613858305,0.358570213,0.205783694,0.314668573,0.421227805,0.55841021,0.65880941,0.663021897,1.084021357,1.675716861,2.123395765,2.710556652,3.128231098,2.966432661,2.488992354,1.803751648,1.477435111,1.77982813,2.235685253,2.511900185,2.60798368,2.741994244,2.565904672,1.837777752,1.553778666,1.548507447,1.262041154,0.829474241,0.823623228,0.701016514,0.817420217,0.81473906,0.816286882,0.815421298,0.723376283,0.514737281,0.399671237,0.185190373,0.190014459,0.285369411,0.378792026,0.502298972,0.861008528,0.985551553,1.109733171,1.112050039,0.988134896,0.99179065,0.995368332,0.872663178,0.872842963,0.874849619,0.871188067,0.647833372,0.550762265,0.678577653,0.801853502,0.566118566,0.670291159,0.971745094,0.862282345,0.650050347,0,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
5,#momlife,20171006-153200,2.919512718,2.18973628,1.452271262,1.452271262,1.444995203,1.437578717,4.030914174,6.650870626,6.650870626,5.935783177,5.213291909,21.65173534,32.28468778,34.02659653,34.80003665,38.34295039,20.37923057,7.627233994,6.368506723,6.085242224,4.941488816,5.627437537,5.134497303,4.659072202,4.57774961,2.62253626,1.306627648,1.300557962,1.702974772,1.693789066,1.681528574,2.128229929,3.622452076,4.647854591,4.272685356,5.271599443,4.765825224,3.644250331,2.21013942,2.185641328,2.663805661,4.22179124,4.654828175,4.664572706,5.477044015,3.56827911,1.63252971,0.826191741,1.155198457,1.133030945,1.910478554,2.68881365,3.029689237,3.031597399,2.579705796,1.803466416,1.02507705,1.012263767,1.443463001,1.105050807,2.335143271,3.571894409,3.577373811,3.12653699,3.88353716,2.981739931,1.743780564,1.408990245,1.087624552,0.331733563,0.003327718,0.004413941,0.317137471,0.63864249,0.638575594,0.638509671,0.637423448,0.637577324,1.030116934,1.74608212,2.056351075,2.753674942,3.592613324,3.574993302,3.163135267,3.156984054,2.460082945,3.362103938,19.8674001,22.2522102,27.80053193,1,1000,1000,1,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,1000,1,0
6,#momlife,20171006-183400,29.80540927,27.94037458,14.61944517,12.7780316,7.225526349,5.255704207,5.286193143,2.248274125,1.568117325,1.617566145,1.598676567,2.170102564,1.882452566,1.869707928,2.093520857,2.0774897,3.349082789,2.986243425,3.200949953,3.1631767,3.696264004,2.15151519,3.162837363,3.760388047,3.548275486,3.155804239,2.638571698,1.571674357,0.741701344,0.733422435,0.908312097,0.908310404,0.907227061,0.770065455,0.97479955,0.661931452,0.663826179,1.224485546,1.738960117,1.522519616,1.828300519,2.135054477,1.93889611,2.570183923,2.578987694,2.766400872,2.589919203,2.088757751,1.075380935,1.067366921,1.051553534,1.824134074,1.953223584,1.820357955,1.808984874,2.010391401,1.105491968,1.105820322,1.233565425,0.940075119,0.38832577,0.517126536,0.517759007,0.519646449,0.816753193,0.813620153,1.16626745,1.331984885,1.331042492,1.033652844,0.906553167,0.42510299,0.129150287,0.00017307,0.29433699,0.589933526,0.589931861,0.71828775,0.842963262,0.841566081,0.672483015,0.67231161,0.672931686,0.676610814,0.678015187,0.676177229,0.966118722,0.852522118,0.741168558,0.850073988,0.868484731,0,1000,1000,1000,0,1000,1000,1000,1000,1000,1000,1000,0,1000,1000,0,0,1000,1000,1000
7,#momlife,20171007-154400,0.760874504,1.530056985,1.536331702,1.536331702,0.775457198,0.775457198,0.77530601,1.546536734,2.307411238,3.076593719,3.076593719,2.307562426,1.530056985,0.769182481,6.33E-15,6.33E-15,0.752874914,1.513896331,2.274917748,2.280865421,2.286689185,1.533814271,0.778496335,0.754939936,1.471355772,1.471005261,1.476368316,1.475920808,0.743607686,0.026294891,0.714981047,1.4037774,2.052572408,3.603737853,3.598687139,3.60546492,11.5393626,16.46748263,16.34760812,16.36127483,16.19007388,9.700020567,7.046425539,6.038963343,6.646975773,6.685887094,5.07985465,2.608676652,2.200654198,1.59904355,1.451192782,2.645086435,3.20773821,3.204479437,3.643266015,3.229721265,3.006682769,2.455208957,4.577062107,5.595745248,6.508160382,5.880818905,6.304168865,4.545836918,3.458827416,2.540678193,1.665193175,1.141074251,1.127792413,2.13710988,2.135591936,2.981114859,2.95816109,2.601818893,2.538671286,2.538671286,1.693148363,1.710041833,2.058154883,1.085280815,1.434795549,1.796503959,3.77583911,4.249149306,4.243493311,4.596091561,15.88796346,18.20178115,21.16181235,21.86097159,21.21178694,1,1000,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1000,1000,0,1,1000
8,#momlife,20171007-184600,10.87598554,7.08792667,3.326832422,4.437019358,7.448948334,7.039952205,6.213744015,6.215521521,4.483815161,1.74165001,3.098153526,4.408018758,4.551664028,4.284696911,4.097906867,1.964097221,1.403816146,1.554016774,2.154358045,2.163021082,2.031900126,2.942668149,3.606777317,2.964901078,3.771920966,4.28051977,2.581701029,2.097708203,2.471732405,1.832223532,1.457422377,1.589409832,1.211877065,1.005205839,1.387289081,1.392584402,1.390562002,1.569370744,1.406175114,1.211694932,1.983034306,2.345648381,2.342583616,2.706260566,2.340400074,1.430037952,1.240429701,0.934953253,0.440248348,0.30714726,0.61723906,0.446920868,0.581299438,0.717750302,0.853221939,1.057762315,1.059122598,1.242020091,1.241659447,1.620087723,1.420299794,1.795664197,2.203208103,2.204973908,1.828292731,1.651669649,1.278773469,0.870814318,0.871525308,1.245543951,1.834002163,2.015113199,1.835388564,1.833953379,1.322743968,0.913349471,0.731883006,0.730491404,0.908608746,1.224761201,0.907370812,0.903122022,0.767705364,0.452493364,0.280121057,0.593950258,0.463756017,1.337594938,1.480193532,1.710157859,1.401397494,0,1000,1000,1000,0,1000,1000,1000,0,1000,1000,1000,0,1000,1000,1000,0,1000,1000,1000
9,#momlife,20171030-170600,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,1.78E-15,2.207794311,6.694793395,11.54601329,14.46665098,16.50405501,16.86217525,15.30519293,11.04161281,8.198723716,6.233318825,4.146362473,2.716513412,2.631570116,4.746700103,5.224450544,5.259152343,26.10292602,29.38381812,36.09756507,36.5309508,40.07265778,19.37945532,15.93501077,9.561756689,11.78944902,8.334944421,8.319202426,9.291754782,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1000,1000,0,1000,0,1000,1000,1000
